field name,description
attachment, "A list of attachment ref or values (AttachmentRefOrValue [*]). Complements the description of an element (for instance a resource) through video, pictures ..."
category, "A string. Category of the target resource like NetworkConnectivity, PhysicalLinks, Generic, L2Network and so on."
description, "A string. Description of this REST resource."
featureSpecification, "A list of feature specifications (FeatureSpecification [*]). A list of Features for this specification."
href, "A string. Hyperlink reference to this REST resource."
id, "A string. Unique identifier of this REST resource."
isBundle, "A boolean. A flag indicates that if this resource specification is a bundled specification (true) or single (false)."
lastUpdate, "A date time (DateTime). Date and time of the last update of this REST resource."
lifecycleStatus, "A string. Used to indicate the current lifecycle status of the resource specification."
name, "A string. Name given to this REST resource."
relatedParty, "A list of related parties (RelatedParty [*]). A related party defines party or party role linked to a specific entity."
resourceSpecCharacteristic, "A list of resource specification characteristics (ResourceSpecificationCharacteristic [*]). A characteristic quality or distinctive feature of a ResourceSpecification. The characteristic can be take on a discrete value, such as color, can take on a range of values, (for example, sensitivity of 100-240 mV), or can be derived from a formula (for example, usage time (hrs) = 30 - talk time *3). Certain characteristics, such as color, may be configured during the ordering or some other process."
resourceSpecRelationship, "A list of resource specification relationships (ResourceSpecificationRelationship [*]). A migration, substitution, dependency or exclusivity relationship between/among resource specifications."
targetResourceSchema, "A target resource schema (TargetResourceSchema). A target resource schema reference. The reference object to the schema and type of target resource which is described by resource specification."
validFor, "A time period. The period for which this REST resource is valid."
version, "A string. Resource Specification version."
