field name,description
category,A String. Is it a customer facing or resource facing service.
description,A String. Free-text description of the service.
endDate,A DateTime. Date when the service ends.
feature,A Feature. A list of feature associated with this service.
hasStarted,A Boolean. If TRUE, this Service has already been started.
href,A String. Hyperlink reference.
id,A String. Unique identifier.
isBundle,A Boolean. If true, the service is a ServiceBundle which regroup a service hierarchy. If false, the service is a 'atomic' service (hierarchy leaf).
isServiceEnabled,A Boolean. If FALSE and hasStarted is FALSE, this particular Service has NOT been enabled for use - if FALSE and hasStarted is TRUE then the service has failed.
isStateful,A Boolean. If TRUE, this Service can be changed without affecting any other services.
name,A String. Name of the service.
note,A Note. A list of notes made on this service.
place,A RelatedPlaceRefOrValue. A list of places (Place [*]). Used to define a place useful for the service (for example a geographical place where the service is installed).
relatedEntity,A RelatedEntityRefOrValue. A list of related entity in relationship with this service.
relatedParty,A RelatedParty. A list of related party references (RelatedParty [*]). A related party defines party or party role linked to a specific entity.
serviceCharacteristic,A Characteristic. A list of characteristics that characterize this service (ServiceCharacteristic [*]).
serviceDate,A String. Date when the service was created (whatever its status).
serviceOrderItem,A RelatedServiceOrderItem. A list of service order items related to this service.
serviceRelationship,A ServiceRelationship. A list of service relationships (ServiceRelationship [*]). Describes links with other service(s) in the inventory.
serviceSpecification,A ServiceSpecificationRef.
serviceType,A String. Business type of the service.
startDate,A DateTime. Date when the service starts.
startMode,A String. This attribute is an enumerated integer that indicates how the Service is started, such as: 0: Unknown; 1: Automatically by the managed environment; 2: Automatically by the owning device; 3: Manually by the Provider of the Service; 4: Manually by a Customer of the Provider; 5: Any of the above.
state,A ServiceStateType.
supportingResource,A ResourceRef. A list of supporting resources (SupportingResource [*]). Note: only Service of type RFS can be associated with Resources.
supportingService,A ServiceRefOrValue. A list of supporting services (SupportingService [*]). A collection of services that support this service (bundling, link CFS to RFS).
